Subject,Condition,BrainActivity,ReactionTime
subj-01,Conc,-1.47,1686
subj-02,Conc,1,1664
subj-03,Conc,0.77,1566
subj-04,Conc,2.27,1421
subj-05,Conc,1.72,1703
subj-06,Conc,0.25,1668
subj-07,Conc,3.93,1561
subj-08,Conc,-0.13,1356
subj-09,Conc,2.24,1710
subj-10,Conc,3.74,1432
subj-11,Conc,0.67,1423
subj-12,Conc,0.99,1471
subj-13,Conc,-0.65,1388
subj-14,Conc,-0.8,1427
subj-15,Conc,-0.4,1850
subj-16,Conc,0.46,1945
subj-17,Conc,2.34,1867
subj-18,Conc,-0.51,1271
subj-19,Conc,1.85,1196
subj-20,Conc,2.29,1619
subj-21,Conc,0.19,1662
subj-22,Conc,2.27,1437
subj-23,Conc,1.22,1617
subj-24,Conc,0.76,1529
subj-25,Conc,-5.18,1654
subj-01,Abst,-3.28,1962
subj-02,Abst,-0.58,1921
subj-03,Abst,1.18,1815
subj-04,Abst,-0.35,1644
subj-05,Abst,0.53,1793
subj-06,Abst,-1.12,1808
subj-07,Abst,2.34,1849
subj-08,Abst,-1.65,1539
subj-09,Abst,1.07,1940
subj-10,Abst,-0.73,1533
subj-11,Abst,1.99,1654
subj-12,Abst,-1.36,1691
subj-13,Abst,-0.89,1531
subj-14,Abst,-2.05,1653
subj-15,Abst,-0.65,1963
subj-16,Abst,0.89,1934
subj-17,Abst,2.07,2026
subj-18,Abst,-0.09,1451
subj-19,Abst,-0.23,1404
subj-20,Abst,1.77,1842
subj-21,Abst,-1.11,1977
subj-22,Abst,0.17,1661
subj-23,Abst,-2.61,1922
subj-24,Abst,-0.82,1820
subj-25,Abst,-7.26,2037
